Provider_ID,Measure_ID,Value,Footnote,Start_Date,End_Date
030085,MSPB-1,  .991915,,01012016,12312016
030092,MSPB-1, 1.003283,,01012016,12312016
030094,MSPB-1, 1.019643,,01012016,12312016
030101,MSPB-1,  .904839,,01012016,12312016
030117,MSPB-1,  .877449,,01012016,12312016
030120,MSPB-1, 1.082360,,01012016,12312016
030131,MSPB-1,  .972599,,01012016,12312016
040067,MSPB-1, 1.105860,,01012016,12312016
040071,MSPB-1, 1.092445,,01012016,12312016
040078,MSPB-1, 1.042519,,01012016,12312016
040132,MSPB-1,Not Available,1-The number of cases/patients is too few to report,01012016,12312016
050014,MSPB-1,  .957034,,01012016,12312016
050030,MSPB-1,  .819196,,01012016,12312016
050116,MSPB-1, 1.027521,,01012016,12312016
050137,MSPB-1,  .781764,,01012016,12312016
050179,MSPB-1,  .968933,,01012016,12312016
050204,MSPB-1,  .979689,,01012016,12312016
050301,MSPB-1,  .871175,,01012016,12312016
050305,MSPB-1, 1.009152,,01012016,12312016
050350,MSPB-1, 1.077045,,01012016,12312016
050353,MSPB-1,  .986511,,01012016,12312016
050411,MSPB-1,  .837933,,01012016,12312016
050498,MSPB-1,  .944650,,01012016,12312016
050502,MSPB-1, 1.031418,,01012016,12312016
050523,MSPB-1,  .944039,,01012016,12312016
050541,MSPB-1,  .901148,,01012016,12312016
050764,MSPB-1,  .930120,,01012016,12312016
050770,MSPB-1,  .942074,,01012016,12312016
050778,MSPB-1,Not Available,1-The number of cases/patients is too few to report,01012016,12312016
060020,MSPB-1,  .974498,,01012016,12312016
060024,MSPB-1,  .972413,,01012016,12312016
060114,MSPB-1,  .967742,,01012016,12312016
070004,MSPB-1,  .903397,,01012016,12312016
070017,MSPB-1, 1.033616,,01012016,12312016
070039,MSPB-1,  .983229,,01012016,12312016
090011,MSPB-1, 1.006136,,01012016,12312016
100040,MSPB-1,  .989084,,01012016,12312016
100053,MSPB-1, 1.142179,,01012016,12312016
100057,MSPB-1,  .978477,,01012016,12312016
100068,MSPB-1, 1.036393,,01012016,12312016
100071,MSPB-1, 1.049079,,01012016,12312016
100075,MSPB-1, 1.017138,,01012016,12312016
100088,MSPB-1, 1.021352,,01012016,12312016
100131,MSPB-1, 1.057504,,01012016,12312016
100223,MSPB-1, 1.029790,,01012016,12312016
100242,MSPB-1, 1.080198,,01012016,12312016
100246,MSPB-1, 1.050821,,01012016,12312016
100249,MSPB-1, 1.039810,,01012016,12312016
110016,MSPB-1,  .964775,,01012016,12312016
110018,MSPB-1,  .981056,,01012016,12312016
010021,MSPB-1,  .951596,,01012016,12312016
010033,MSPB-1,  .967137,,01012016,12312016
010061,MSPB-1,  .988004,,01012016,12312016
010090,MSPB-1,  .992094,,01012016,12312016
010100,MSPB-1,  .938835,,01012016,12312016
010112,MSPB-1, 1.057320,,01012016,12312016
010118,MSPB-1,  .934040,,01012016,12312016
010130,MSPB-1,  .913803,,01012016,12312016
010146,MSPB-1,  .909387,,01012016,12312016
020006,MSPB-1,  .760893,,01012016,12312016
030007,MSPB-1, 1.000000,,01012016,12312016
030012,MSPB-1,  .976975,,01012016,12312016
030038,MSPB-1, 1.019063,,01012016,12312016
030062,MSPB-1,  .899998,,01012016,12312016
150069,MSPB-1,  .917796,,01012016,12312016
150086,MSPB-1,  .976808,,01012016,12312016
150100,MSPB-1,  .996817,,01012016,12312016
150125,MSPB-1, 1.125719,,01012016,12312016
150133,MSPB-1,  .963600,,01012016,12312016
150146,MSPB-1, 1.020623,,01012016,12312016
150165,MSPB-1,  .997631,,01012016,12312016
150166,MSPB-1, 1.187220,,01012016,12312016
150167,MSPB-1,  .925522,,01012016,12312016
150181,MSPB-1,  .941048,,01012016,12312016
160067,MSPB-1,  .984367,,01012016,12312016
160080,MSPB-1,  .938862,,01012016,12312016
170012,MSPB-1, 1.051553,,01012016,12312016
170039,MSPB-1,  .826579,,01012016,12312016
170058,MSPB-1,  .921659,,01012016,12312016
170068,MSPB-1,  .974786,,01012016,12312016
170086,MSPB-1, 1.003050,,01012016,12312016
170122,MSPB-1, 1.002883,,01012016,12312016
170200,MSPB-1,  .905124,,01012016,12312016
180005,MSPB-1,  .971385,,01012016,12312016
180102,MSPB-1,  .973682,,01012016,12312016
180104,MSPB-1, 1.001173,,01012016,12312016
180128,MSPB-1,  .981828,,01012016,12312016
190026,MSPB-1, 1.081495,,01012016,12312016
330126,MSPB-1, 1.014590,,01012016,12312016
330141,MSPB-1, 1.082805,,01012016,12312016
330160,MSPB-1, 1.010488,,01012016,12312016
330180,MSPB-1,  .954113,,01012016,12312016
330218,MSPB-1,  .958008,,01012016,12312016
330219,MSPB-1,  .970930,,01012016,12312016
330232,MSPB-1, 1.010994,,01012016,12312016
310019,MSPB-1, 1.074403,,01012016,12312016
310022,MSPB-1, 1.028808,,01012016,12312016
310039,MSPB-1, 1.081075,,01012016,12312016
310057,MSPB-1, 1.032942,,01012016,12312016
310081,MSPB-1, 1.041398,,01012016,12312016
310112,MSPB-1, 1.064023,,01012016,12312016
320057,MSPB-1,Not Available,1-The number of cases/patients is too few to report,01012016,12312016
320059,MSPB-1,  .742599,,01012016,12312016
320062,MSPB-1,  .738471,,01012016,12312016
330047,MSPB-1,  .941505,,01012016,12312016
330055,MSPB-1, 1.017060,,01012016,12312016
330058,MSPB-1,  .912808,,01012016,12312016
330080,MSPB-1, 1.018833,,01012016,12312016
330107,MSPB-1, 1.048545,,01012016,12312016
110078,MSPB-1,  .975258,,01012016,12312016
110092,MSPB-1,  .990763,,01012016,12312016
110100,MSPB-1,  .815334,,01012016,12312016
330406,MSPB-1,  .910351,,01012016,12312016
340003,MSPB-1,  .894012,,01012016,12312016
340013,MSPB-1,  .945126,,01012016,12312016
340064,MSPB-1,  .931546,,01012016,12312016
340075,MSPB-1,  .945254,,01012016,12312016
340091,MSPB-1,  .908353,,01012016,12312016
340106,MSPB-1,  .880996,,01012016,12312016
340114,MSPB-1,  .939959,,01012016,12312016
190081,MSPB-1,  .990829,,01012016,12312016
190102,MSPB-1, 1.071939,,01012016,12312016
190106,MSPB-1,  .990612,,01012016,12312016
190160,MSPB-1, 1.034598,,01012016,12312016
190199,MSPB-1,Not Available,1-The number of cases/patients is too few to report,01012016,12312016
